#MaxStocks				
19				
CU	prSmax	prCV		
Lakelse	2004	5811	7792	0.167
Lakelse	2005	6236	NA	0.114
Lakelse	2006	3592	NA	0.249
Lakelse	2007	6551	NA	0.149
Lakelse	2008	5452	NA	0.125
Lakelse	2009	7492	NA	0.075
Lakelse	2010	14559	NA	0.077
Mcdonell	1954	2000	NA	NA
Mcdonell	1955	2000	NA	NA
Mcdonell	1956	1500	1910	NA
Mcdonell	1957	7000	1630	NA
Mcdonell	1958	3000	1633	NA
Mcdonell	1959	1500	1933	NA
Mcdonell	1960	1500	5175	0.245
Mcdonell	1961	1500	8998	0.231
Mcdonell	1962	1000	5405	0.253
Mcdonell	1963	1600	4115	0.155
Mcdonell	1964	1000	4401	0.245
Mcdonell	1965	6000	3344	0.208
Mcdonell	1966	8000	3529	0.288
Mcdonell	1967	400	2640	0.316
Mcdonell	1968	5000	3929	0.28
Mcdonell	1969	1944	5049	0.23
Mcdonell	1970	3000	NA	0.232
Mcdonell	1971	2600	NA	0.251
Mcdonell	1972	1200	NA	0.258
Mcdonell	1973	4000	6595	0.287
Mcdonell	1974	3600	6112	0.311
Mcdonell	1975	200	1770	0.194
Mcdonell	1977	1200	3860	0.265
Mcdonell	1978	8000	7346	0.276
Mcdonell	1979	2200	5565	0.258
Mcdonell	1980	280	2107	0.272
Mcdonell	1981	3000	5500	0.263
Mcdonell	1982	2000	7514	0.301
Mcdonell	1983	10000	NA	0.142
Mcdonell	1984	1000	NA	0.195
Mcdonell	1985	1200	NA	0.368
Mcdonell	1986	6000	3809	0.271
Mcdonell	1987	6000	11701	0.156
Mcdonell	1988	4000	NA	0.429
Mcdonell	1990	3000	NA	0.32
Mcdonell	1991	1200	NA	0.324
Mcdonell	2002	7072	6085	0.311
Mcdonell	2003	9106	2310	0.201
Mcdonell	2004	6332	2284	0.186
Mcdonell	2005	6888	NA	0.123
Mcdonell	2006	6116	NA	0.314
Mcdonell	2007	3800	NA	0.153
Mcdonell	2008	280	NA	0.093
Mcdonell	2009	3400	NA	0.079
Mcdonell	2010	2980	NA	0.077
Morice	1955	9700	22621	NA
Morice	1956	14550	23274	NA
Morice	1957	970	12549	NA
Morice	1958	61	14399	NA
Morice	1959	1819	36208	NA
Morice	1960	8487	46863	0.582
Morice	1961	12125	41001	0.55
Morice	1962	7275	28865	0.601
Morice	1963	2425	20335	0.369
Morice	1964	12125	20909	0.582
Morice	1965	24250	22993	0.494
Morice	1966	14550	16484	0.685
Morice	1967	8245	9965	0.752
Morice	1968	7275	9161	0.666
Morice	1969	8002	6956	0.547
Morice	1970	11397	1070	0.551
Morice	1971	8002	2000	0.598
Morice	1972	4365	3709	0.613
Morice	1973	2425	3888	0.683
Morice	1974	2910	3700	0.74
Morice	1975	546	4310	0.46
Morice	1976	242	14197	0.625
Morice	1977	1455	25459	0.631
Morice	1978	1212	24020	0.657
Morice	1979	1697	18756	0.613
Morice	1980	970	29641	0.647
Morice	1981	2425	45997	0.626
Morice	1982	7275	30129	0.715
Morice	1983	9700	18947	0.631
Morice	1984	7275	33014	0.65
Morice	1985	4850	114894	0.687
Morice	1986	7275	202756	0.854
Morice	1987	9700	165833	0.77
Morice	1988	2425	NA	0.804
Morice	1989	13580	NA	0.497
Morice	1990	14550	260369	0.657
Morice	1991	96999	257276	0.561
Morice	1992	65474	135174	0.647
Morice	1993	53350	37976	0.606
Morice	1995	84874	19369	0.655
Morice	1996	99424	NA	0.662
Morice	1997	58200	NA	0.719
Morice	1998	14550	30538	0.461
Morice	1999	36375	NA	0.19
Morice	2000	7275	NA	0.628
Morice	2001	9700	39992	0.455
Morice	2003	24250	35661	0.295
Morice	2004	18794	24613	0.296
Morice	2006	20011	NA	0.448
Morice	2007	32495	NA	0.312
Morice	2008	21825	NA	0.402
Morice	2009	27778	NA	0.181
Morice	2010	8936	NA	0.188
Motase	1970	1600	NA	0.518
Motase	1972	600	NA	0.576
Motase	1973	6000	NA	0.642
Motase	1987	1500	1196	0.412
Motase	1988	100	NA	0.629
Motase	1989	400	NA	0.55
Motase	1990	60	NA	0.622
Motase	1991	300	NA	0.644
Motase	1992	500	560	0.67
Motase	1993	400	793	0.598
Motase	1996	100	648	0.7
Motase	1997	220	481	0.691
Motase	1998	500	1777	0.434
Motase	1999	500	1832	0.202
Motase	2000	400	673	0.598
Motase	2001	200	329	0.531
Motase	2002	100	395	0.518
Motase	2003	2000	355	0.361
Motase	2004	600	386	0.402
Motase	2005	290	NA	0.307
Motase	2006	120	NA	0.453
Motase	2007	300	NA	0.461
Motase	2008	100	NA	0.451
Motase	2009	410	NA	0.187
Motase	2010	592	NA	0.189
SkeenaRivHigh	2001	139	NA	0.38
SkeenaRivHigh	2002	10	NA	0.447
