CU,BY,ER,Esc,male_spawn,female_spawn,mature_spawn,effective_spawn,R2.1,R3.1,R3.2,R4.1,R4.2,R4.3,R5.2,R5.3,R6.2,R6.3,R.no.jacks,Rec,Use
Bowron,1992,0.71,2560,1443,1117,2560,1117,0,0,14,0,10556,0,2313,0,0,0,12869,12883,y
Bowron,1993,0.81,1184,592,592,1184,592,0,0,0,0,16961,0,3506,0,0,0,20467,20467,y
Bowron,1994,0.35,4415,2535,1845,4380,1845,0,0,0,0,6743,0,4106,0,0,0,10849,10849,y
Bowron,1995,0.41,34431,17598,16819,34417,13487,0,0,40,0,25092,0,2259,0,0,0,27351,27391,y
Bowron,1996,0.3,8176,4107,4069,8176,4054,0,0,0,0,20695,0,6081,0,0,0,26776,26776,y
Bowron,1997,0.82,4811,2667,2144,4811,2119,0,0,0,0,1335,0,3689,0,0,0,5024,5024,y
Bowron,1998,0.19,4777,1921,2830,4751,2830,0,0,0,0,11272,0,5729,0,0,0,17001,17001,y
Bowron,1999,0.21,8238,4943,3295,8238,3295,0,0,0,0,19734,0,0,0,0,0,19734,19734,y
Bowron,2000,0.41,13440,6203,7237,13440,6720,0,0,0,0,23887,0,1396,0,0,0,25283,25283,y
Bowron,2001,0.21,5842,2921,2921,5842,2752,0,,,,4433,,2392,,,,6825,6825,y
Bowron,2002,0.41,8770,4085,4685,8770,4505,0,,,,7279,,395,,,,7674,7674,y
Bowron,2003,0.5,6752,3376,3376,6752,3038,0,,,30,3702,,90,,,,3822,3822,y
